gene_symbol,RED,pvalue,p_adj,APAreg,Significance
DCP1A,-0.514004345373454,0.115587935594793,0.346923238419683,NC,NS
DCTD,-1.27275291755413,0.00383078764122674,0.0465686810464212,DN,Shortened in Neurites
DCTN1,-0.605850619737716,0.0555288913193963,0.226963810459074,NC,NS
DCTN2,0.31077737709327,0.164756019407603,0.41350530361124,NC,NS
DCTN3,0.433346642589756,0.106788156737484,0.333202858551765,NC,NS
DCTN4,0.0620755880773604,0.716677433125456,0.864252326620384,NC,NS
DCX,0.0709797911240817,0.695131107443294,0.85313327117688,NC,NS
DDA1,-1.79505129381329,0.0164861532459747,0.116473602153379,DN,NS
DDAH1,0.256653816330115,0.222600649292745,0.483700216980468,NC,NS
DDB1,0.76870643735293,0.224777876964884,0.483700216980468,NC,NS
DDHD2,-0.0256820302866344,0.816027961104415,0.916241921240045,NC,NS
DDIT4,-0.60795073833325,0.0785227220068305,0.281459106211511,NC,NS
DDX17,-0.589498208696807,0.103802971540582,0.32974491397417,NC,NS
DDX19A,-0.782705551462454,0.0886801554039851,0.303886642770192,NC,NS
DDX19B,-0.727998747650217,0.0821232054010528,0.287463658256189,NC,NS
DDX42,0.210366430007086,0.399046993511606,0.64511609055071,NC,NS
DDX5,0.152410759311652,0.708097324960533,0.860901230034356,NC,NS
DDX6,-0.153357195856743,0.45514662913367,0.685885142296375,NC,NS
DEK,-0.897225790414066,0.069714778287801,0.260204729938688,NC,NS
DENR,0.433544651589013,0.401116056979131,0.647018932532683,NC,NS
DESI1,-0.732144274286434,0.0906601598282592,0.306602540364279,NC,NS
DET1,-2.09020451378993,0.0012533199928659,0.0213064398787203,DN,Shortened in Neurites
DGKB,-0.279971468733455,0.0762063250250062,0.274979011822735,NC,NS
DGKE,-0.30943003456957,0.0579085549893953,0.230785742961399,NC,NS
DGKI,-0.404254500514884,0.172910408301944,0.426107642655753,NC,NS
DHCR24,0.0397353030403383,0.812236281493953,0.913398526372528,NC,NS
DIABLO,0.015591361607763,0.963410247803686,0.980992372120178,NC,NS
DIAPH1,-0.0321880404792893,0.893684196823197,0.961749165325062,NC,NS
DICER1,0.0115480166006479,0.95460956895361,0.978815643073234,NC,NS
DIP2C,0.289012320782598,0.373832243323302,0.630068302298412,NC,NS
DIRAS1,-0.102360311441806,0.735792504429381,0.876688175223012,NC,NS
DIRAS2,-0.374128018322795,0.385549333251947,0.636054093370916,NC,NS
DIRC2,0.167106422951631,0.53472107071698,0.749712016675354,NC,NS
DIXDC1,-0.577978737555879,0.0005256762919893,0.0125700177073485,DN,Shortened in Neurites
DLD,0.155312413491828,0.636752580415148,0.822298881295764,NC,NS
DLG5,-0.131781390928989,0.785868041304342,0.901860924679734,NC,NS
DLGAP4,-0.507329463243901,0.118888536304741,0.351019613295953,NC,NS
DMWD,0.504303034476109,0.225143666987336,0.483700216980468,NC,NS
DNAJA1,-0.81984178733793,0.0279287951050377,0.153080751003934,DN,NS
DNAJA2,0.0531613334009375,0.801252286257899,0.909582794554162,NC,NS
DNAJB12,-1.02789763077781,0.0835325851218341,0.290601555523901,NC,NS
DNAJB14,0.285756679573527,0.302978150714693,0.568835596164945,NC,NS
DNAJB4,0.856398066474539,0.0134848947512814,0.102598360065693,UP,NS
DNAJB5,-0.835598794995365,0.0309866599777164,0.165668236146218,DN,NS
DNAJC10,-0.478141942671626,0.362637196178063,0.618744449283127,NC,NS
DNAJC15,-0.916453213908878,0.0396308097678236,0.188568838884881,DN,NS
DNAJC16,-0.177572992738857,0.65694502497905,0.831635727294497,NC,NS
DNAJC6,-0.410758048075468,0.0604757819198241,0.235316522063308,NC,NS
DNAJC8,-0.157177046842673,0.755363046439215,0.886075465796082,NC,NS
DNALI1,-1.11114076624717,0.0137159112670725,0.103272743657958,DN,NS
DNER,-0.265182087026168,0.358632400786664,0.615657898470548,NC,NS
DNM1,0.53494311603943,0.188260531561016,0.450665474891937,NC,NS
DNM1L,-0.183310130667968,0.293614376752191,0.557508624618471,NC,NS
DNMT3A,-0.208850272332095,0.0339223672783834,0.172869019198507,DN,NS
DNPH1,-3.2553357707997,0.0023033398555718,0.0344116036741849,DN,Shortened in Neurites
DOK5,-0.033661895235851,0.869956330862638,0.950159755482482,NC,NS
DPF2,0.594352008558131,0.297371541219334,0.56121463459954,NC,NS
DPH3,-0.192676889500722,0.153147392234964,0.398272661197325,NC,NS
DPY19L3,-0.304447703154558,0.480462669695405,0.704980963760756,NC,NS
DPYSL2,0.0685206619547362,0.241404387943073,0.500712982038595,NC,NS
DPYSL3,0.0518206530320593,0.553250705205084,0.762736282451371,NC,NS
DR1,-0.461215191248225,0.0565994126546372,0.228703594730369,NC,NS
DRAXIN,0.239750087846557,0.518163712459548,0.736943946609136,NC,NS
DRG1,-1.94942086354243,1.6855082663653e-05,0.00184636203960328,DN,Shortened in Neurites
DSEL,-0.556144175088125,0.0596915801393911,0.234386683173592,NC,NS
DST,0.0360284719769153,0.75025798035917,0.882709806179602,NC,NS
DSTN,-0.304392089635587,0.0287799685788626,0.156955417613045,DN,NS
DTNBP1,-0.515816939283674,0.26102400144815,0.520612490514366,NC,NS
DTX4,-0.454273762497454,0.22088535577946,0.483700216980468,NC,NS
DUSP16,-0.483345287929042,0.12497912086875,0.362123258336085,NC,NS
DUSP3,-0.213152106017143,0.220751566828712,0.483700216980468,NC,NS
DUSP4,-0.705153001826141,0.0735385814725198,0.269393860747817,NC,NS
DVL3,-0.217533234628936,0.511416560533466,0.73117111413983,NC,NS
DYM,-0.813500167403435,0.153749733348086,0.398272661197325,NC,NS
DYNC1H1,-0.000471860064607421,0.998178063721409,0.999126920222872,NC,NS
DYNC1I2,-0.634069018753478,0.0105408214361945,0.088467734153784,DN,NS
DYNC1LI2,0.213021436467494,0.123566933668298,0.359467443398684,NC,NS
DYNLL1,-0.0840393799425176,0.516958705284464,0.735711015499669,NC,NS
DYNLL2,-0.14840980527287,0.299270516930567,0.56430905098866,NC,NS
DZIP1,-2.18860915856941,0.000249338461155195,0.0078631955286044,DN,Shortened in Neurites
E2F6,1.29608909533951,0.0151729129854254,0.110792814282837,UP,NS
EAF1,-0.0472727537798321,0.727462734623293,0.874080016863769,NC,NS
EBF1,0.232603711363455,0.039868671514704,0.188568838884881,UP,NS
EBF2,-0.047089142267548,0.766550749689356,0.890233934944606,NC,NS
EBF3,0.112330971215503,0.729725079328989,0.874506318896762,NC,NS
ECHDC1,0.452507726183718,0.257647611111988,0.517196680608565,NC,NS
ECHS1,-0.213528780967656,0.520458718289079,0.738277816816843,NC,NS
EDF1,0.0658480060380575,0.829587539000016,0.923366999930452,NC,NS
EEF1A1,-1.80066389262707,0.000109086774391702,0.00516027871905094,DN,Shortened in Neurites
EEF1A2,-0.741208055068594,0.0353335432083356,0.176849445681027,DN,NS
EEF1AKMT2,-1.91281296991853,0.0174188949296113,0.119947833439348,DN,NS
EEF2,0.258142191142883,0.612379038365009,0.809462588805149,NC,NS
EFNA5,0.127154387403621,0.263407907739932,0.522515033324939,NC,NS
EFNB2,-0.706444890725264,0.106882166943535,0.333202858551765,NC,NS
EFNB3,-0.323704489723308,0.24342677057506,0.501629344455997,NC,NS
EFR3B,0.658602286720234,0.16997420756007,0.42221903613095,NC,NS
EGLN1,-0.530498426055788,0.0494545434174991,0.212629929275915,DN,NS
EI24,-0.713860294656045,0.00575139432978175,0.0607525925320635,DN,NS
EID1,-0.0301046735035058,0.910827711312644,0.96633218232965,NC,NS
EIF1,-0.418220453618542,0.0135413426852254,0.102668856038503,DN,NS
EIF1AX,-0.0641967903008749,0.761468862333424,0.888448388438354,NC,NS
EIF1B,0.177298568660671,0.30365634119388,0.569617412446451,NC,NS
EIF2B1,-0.225113383538738,0.675443579181222,0.842272337133718,NC,NS
EIF2S2,-0.442548872572815,0.434314580902996,0.673125732225726,NC,NS
EIF2S3,0.079786997881372,0.659668319912967,0.833587842119987,NC,NS
EIF3E,-2.32115733470369,0.000971599760743799,0.0184801368514511,DN,Shortened in Neurites
EIF3F,-0.82368221652056,0.0305910110414438,0.164360592657239,DN,NS
EIF3H,-3.0238366915883,0.000229297094775332,0.0076327169811133,DN,Shortened in Neurites
EIF3J,-0.530697288323308,0.133887979644665,0.373001948334288,NC,NS
EIF3M,-1.96091033665534,0.00637384669078272,0.0645092576704334,DN,NS
EIF4A1,0.0161978398177772,0.92355754185728,0.969716021230806,NC,NS
EIF4A2,-0.30636550319954,0.0760469181755209,0.274880554734109,NC,NS
EIF4B,-0.373856265783232,0.0412123308270281,0.19203004685142,DN,NS
EIF4E,-0.119708274847656,0.553474535841321,0.762736282451371,NC,NS
EIF4E3,-0.535102890277307,0.0489603936031113,0.212121750197537,DN,NS
EIF4EBP2,-0.221239871534159,0.130700467351046,0.369836432972532,NC,NS
EIF4G2,-0.625604241534166,0.008656220736139,0.0778344476109028,DN,NS
EIF4G3,-1.21854651904089,0.113794361799881,0.34352221676199,NC,NS
EIF5,-0.462962074486293,0.0408380665318808,0.191516449942614,DN,NS
EIF5A,0.0390225537766271,0.876260746548968,0.952895244622966,NC,NS
EIF5B,0.152369052404711,0.553048762763511,0.762736282451371,NC,NS
ELAC2,-0.253134283178602,0.366550296097365,0.622816308136138,NC,NS
