"","PG.ProteinGroups","PG.Genes","[1] HN1.raw.PG.MS2Channel1","[2] HN2.raw.PG.MS2Channel1","[3] HN3.raw.PG.MS2Channel1","[4] HN4.raw.PG.MS2Channel1","[1] HN1.raw.PG.MS2Channel3","[2] HN2.raw.PG.MS2Channel3","[3] HN3.raw.PG.MS2Channel3","[4] HN4.raw.PG.MS2Channel3","logFC","AveExpr","t","P.Value","adj.P.Val","B","Group"
"2452","O95487","SEC24B",4576.582031,4473.172852,4864.673828,6272.071289,26.57735252,14.90077496,NA,NA,10.0936795524419,7.24094908420225,8.41730906593153,6.58789899960413e-05,0.00017204102672378,2.37261075739283,"UP"
"2453","P12277","CKB",625454.5,607875.375,621588.4375,620419.3125,1251.636597,11771.6748,13173.1377,12478.1084,6.46247502564119,16.007876237176,8.41503881874049,6.59934948751178e-05,0.000172153434042348,2.37089378236643,"UP"
"2454","P23786","CPT2",10803.62988,9033.575195,8463.318359,10212.38672,NA,NA,18.4569416,35.30475616,10.8604138176602,7.796281835397,8.40651576271026,6.64253865380094e-05,0.000173209473698746,2.36444350674216,"UP"
"2455","O75116","ROCK2",9480.981445,9948.911133,10902.06543,9660.085938,NA,NA,NA,63.37047958,11.7833823258777,7.39377299101376,8.40266130345698,6.66217535810853e-05,0.000173650754038845,2.36152418891037,"UP"
"2456","O15069","NACAD",4070.40625,5807.299805,4379.192383,6117.762695,186.4410553,52.4017601,279.2595215,300.1809998,4.8791998352339,9.85315368927209,8.40154303935142,6.6678846784698e-05,0.000173658095472236,2.36067696751451,"UP"
"2457","Q96KS9","FAM167A",6487.33252,5619.121094,4923.795898,5275.451172,NA,NA,48.17214584,NA,11.0328621419733,6.9213734234065,8.4018304029674,6.66641700968274e-05,0.000173658095472236,2.36089469176464,"UP"
"2458","Q9NTJ5","SACM1L",15907.40137,16699.39453,16491.20117,18348.39648,NA,80.81078339,NA,NA,12.4509545092762,7.81403203229948,8.39444356488793,6.7042604963804e-05,0.00017453443009088,2.35529549367609,"UP"
"2459","Q9Y5K8","ATP6V1D",13719.94922,14594.5791,15029.5,12929.91504,NA,13.08594894,51.74283981,33.50632858,10.1164003394422,8.71966948872636,8.3892678813063,6.73092073893961e-05,0.000175157225735968,2.35136926911673,"UP"
"2460","P23396","RPS3",7567.995117,6132.533203,7318.301758,7568.570313,NA,NA,NA,54.45555496,11.3496536613451,7.12314184984211,8.38838461052605,6.73548248017972e-05,0.000175204684514919,2.35069897506261,"UP"
"2461","Q641Q2","WASHC2A",6830.69043,7362.050293,6883.144531,7111.708008,NA,54.46406937,NA,NA,11.3339695144233,7.11535514844536,8.38583867718525,6.74865078006336e-05,0.000175475889238624,2.34876651104937,"UP"
"2462","P07738","BPGM",5705.510742,6653.185547,6437.201172,6815.946777,1827.920532,1013.899414,1457.186157,2107.878418,2.04741859351858,11.6177385748225,8.38500139919427,6.75298778106143e-05,0.000175517338793713,2.34813084985295,"UP"
"2463","Q13724","MOGS",11977.12695,13490.09766,12439.01074,13432.39355,NA,29.07922363,37.30448914,27.93305397,9.88982185201228,8.70110685287234,8.38133368704431,6.77202326831329e-05,0.000175940628883219,2.34534554132031,"UP"
"2464","Q9NWM3","CUEDC1",5360.794434,5013.084961,5155.882324,4170.43457,NA,NA,NA,45.96672058,10.8713288185236,6.82405614845653,8.37919342018187,6.7831593142054e-05,0.000176158427157469,2.34371960573447,"UP"
"2465","Q9H490","PIGU",2854.928467,3133.44873,2741.191162,5339.998047,198.4576874,333.3809204,355.6413574,573.2813721,3.30712885556532,10.0708723768427,8.3736544235019,6.81207557649412e-05,0.000176837613038482,2.33950967848904,"UP"
"2466","Q9H8M5","CNNM2",13681.04004,16650.02148,17610.32227,16282.03906,NA,79.47377014,NA,NA,12.3820425153946,7.77363293730237,8.37260876733911,6.81755003498529e-05,0.000176907958937027,2.33871459852683,"UP"
"2467","Q6ZT12","UBR3",3333.24707,3259.44165,3562.86377,4477.34375,385.7305908,80.52062988,228.3332977,267.5420227,4.11184713953227,9.76956968379132,8.36768797391448,6.84337936766194e-05,0.000177506220404008,2.3349716078353,"UP"
"2468","Q8WXG6","MADD",13002.99805,11355.86719,11250.08496,13038.93945,70.44256592,NA,NA,NA,12.0269147477906,7.55313537186681,8.36424607387893,6.86151171801679e-05,0.000177904430646635,2.33235216738458,"UP"
"2469","Q02641","CACNB1",6238.473145,5390.553223,5612.843262,6205.67041,NA,NA,NA,50.59686279,11.0922147954458,6.96841025871491,8.35377735384724,6.91699692301569e-05,0.00017922326159844,2.32437807953241,"UP"
"2470","Q9NZT2","OGFR",2087.652832,2803.741455,2700.807129,3049.987061,371.1863708,655.3977661,682.9971313,518.0271606,2.28023944145369,10.2240748769612,8.3535929744232,6.91797868648454e-05,0.00017922326159844,2.32423754316791,"UP"
"2471","Q16401","PSMD5",11709.65527,12354.38574,11294.20996,11847.99805,NA,NA,NA,70.12561035,11.9879975777962,7.53207309453675,8.35098083263286,6.931904472855e-05,0.000179511358647508,2.32224618742838,"UP"
"2472","A8MVW0","FAM171A2",18261.70898,17366.41602,17364.14258,16286.17188,54.99789047,17.53115845,NA,NA,11.5742205126556,8.29190569173557,8.34508937581972,6.9634293563514e-05,0.000180046786368614,2.31775247324354,"UP"
"2473","Q03154","ACY1",3027.889893,4898.04541,4539.907227,5696.591797,13.435215,26.51328087,NA,NA,9.95354569767849,7.1351670917997,8.34501378031863,6.96383491580434e-05,0.000180046786368614,2.31769479121235,"UP"
"2474","Q96JN8","NEURL4",1337.769897,1114.697021,1383.33252,1277.906982,62.02153397,135.5803833,39.21160126,21.07749367,4.60016712443056,8.01643951722589,8.34644734540058,6.95614858246488e-05,0.000180046786368614,2.31878855910997,"UP"
"2475","Q9NY47","CACNA2D2",48011.04688,56690.83984,51639.13281,56301.94141,140.4405212,NA,NA,NA,13.9087595927777,8.74039271785706,8.34567860509234,6.96026913742936e-05,0.000180046786368614,2.31820205727221,"UP"
"2476","O75348","ATP6V1G1",13698.68066,16211.06836,25767.58203,19153.19922,NA,83.73743439,NA,NA,12.5501015667745,7.87628266926786,8.33718482503375,7.00598112467613e-05,0.000181063300552514,2.31171807174462,"UP"
"2477","Q9UHC6","CNTNAP2",9762.582031,10499.19434,9103.860352,12804.87207,540.2421875,51.24664688,212.0092926,277.9520264,5.69055486890091,10.5067881372531,8.33499448485995,7.01782411687225e-05,0.000181296150681734,2.31004489252013,"UP"
"2478","Q9UGM6","WARS2",1284.235962,1079.597656,799.3811646,1617.365479,NA,NA,22.65573311,NA,9.03654461429791,5.65930179882333,8.3307532246559,7.0408206617343e-05,0.000181816833795148,2.30680373339832,"UP"
"2479","Q8IXM3","MRPL41",14781.03223,11856.44238,14485.88867,6796.504395,NA,NA,NA,66.17248535,11.9671283408139,7.5010137963611,8.32921388436961,7.04918818153621e-05,0.000181959480329367,2.30562694886474,"UP"
"2480","Q7Z4K8","TRIM46",4597.239258,4917.430664,4695.056641,5128.987793,NA,19.35222626,17.62960052,28.93479347,8.87060774659764,7.8029016118878,8.32633561259391,7.06486402005748e-05,0.000182290584130435,2.30342597936986,"UP"
"2481","P49459","UBE2A",16743.01367,6324.250488,3392.54126,5728.357422,NA,NA,NA,44.82530594,11.3382313825827,7.04863384315129,8.32183474567021,7.0894559996107e-05,0.00018285138630193,2.29998264885137,"UP"
"2482","P10636","MAPT",721527.3125,699154.4375,640198.9375,693227.25,374.6454773,8700.297852,1580.363647,6990.67334,8.13211644870104,15.3257128060862,8.32087751312527,7.09469862669063e-05,0.00018291287877596,2.29925008047319,"UP"
