PG.ProteinGroups,PG.Genes,[1] HN1.raw.PG.MS2Channel1,[2] HN2.raw.PG.MS2Channel1,[3] HN3.raw.PG.MS2Channel1,[4] HN4.raw.PG.MS2Channel1,[5] HS1.raw.PG.MS2Channel1,[6] HS3.raw.PG.MS2Channel1,[7] HS4.raw.PG.MS2Channel1,[8] LN1.raw.PG.MS2Channel1,[9] LN2.raw.PG.MS2Channel1,[10] LN3.raw.PG.MS2Channel1,[11] LN4.raw.PG.MS2Channel1,[12] LS1.raw.PG.MS2Channel1,[13] LS2.raw.PG.MS2Channel1,[14] LS3.raw.PG.MS2Channel1,[15] LS4.raw.PG.MS2Channel1,[1] HN1.raw.PG.MS2Channel3,[2] HN2.raw.PG.MS2Channel3,[3] HN3.raw.PG.MS2Channel3,[4] HN4.raw.PG.MS2Channel3,[5] HS1.raw.PG.MS2Channel3,[6] HS3.raw.PG.MS2Channel3,[7] HS4.raw.PG.MS2Channel3,[8] LN1.raw.PG.MS2Channel3,[9] LN2.raw.PG.MS2Channel3,[10] LN3.raw.PG.MS2Channel3,[11] LN4.raw.PG.MS2Channel3,[12] LS1.raw.PG.MS2Channel3,[13] LS2.raw.PG.MS2Channel3,[14] LS3.raw.PG.MS2Channel3,[15] LS4.raw.PG.MS2Channel3
Q8WUD4,CCDC12,NaN,NaN,NaN,NaN,2852.510498,1255.648438,1033.820679,1,NaN,NaN,NaN,344.5644226,585.3526001,442.5566406,1378.188965,NaN,NaN,NaN,NaN,1,1,24.6595974,1,NaN,NaN,NaN,22.49711037,219.4439392,1,1
Q8WUF8,FAM172A,1076.409912,NaN,934.1538086,439.1556396,2960.416992,1438.489624,2483.544678,NaN,NaN,887.0388184,1691.169067,3061.023193,3206.785889,3077.610107,3081.250732,1,NaN,1,336.0890503,292.4763184,247.543045,323.2400818,NaN,NaN,1,1,482.874939,474.3916626,617.9047852,205.3554688
Q8WUG5,SLC22A17,5035.922852,4005.03125,4990.276855,7091.002441,5208.090332,5390.804199,3254.287842,4886.177734,5112.749023,5695.007324,5686.330566,5785.934082,5608.904297,4950.666016,4585.880371,1,1,1,267.6196289,245.7095184,315.1218262,191.7243042,1,1.066688776,1,1,1,1,1,1
Q8WUH2,TGFBRAP1,5576.939941,5166.116699,6330.508789,5548.884766,3701.989502,4204.434082,4285.334961,3167.499512,3395.493164,3782.425293,5368.336914,4621.098145,4048.516113,3986.267578,4421.302734,1,1,1,47.50862503,59.01119995,25.64123344,1,22.55988503,1.146860123,1,17.38612747,1,1,1,1
Q8WUH6,TMEM263,NaN,1,270.1535034,335.3708496,710.3895874,159.5562134,138.9457703,NaN,NaN,NaN,1,620.9556885,251.8892365,312.3116455,1057.663086,NaN,1,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1.136065006,1
Q8WUJ1,CYB5D2,NaN,713.0158081,NaN,403.3661804,1507.413818,1308.845337,1123.809326,NaN,NaN,968.1416016,NaN,1103.507324,920.9363403,NaN,795.4812622,NaN,1,NaN,1,174.4186707,310.2108765,328.4300537,NaN,NaN,1,NaN,1,1,NaN,1
Q8WUK0,PTPMT1,4254.147461,3349.698242,5067.139648,3811.570801,2859.794678,4251.766113,3880.304199,3037.708496,3442.807861,4365.513672,4803.795898,3801.415039,4116.401855,5581.991699,2741.000732,1,109.4366379,247.2266083,1,31.25539207,1,1,1,248.0917053,1.00165844,1,1,1,1,1
Q8WUM0,NUP133,3338.847412,3629.618408,3429.184814,1805.976929,9111.911133,5832.446777,6751.618652,10525.95215,5072.854004,8288.78418,12693.32227,18012.11523,13094.69922,4385.502441,6229.693848,16.8653965,23.51011086,125.9838181,27.5619812,184.3161163,265.6752319,202.3997803,1,161.8822327,1,1,176.9968109,191.2403717,219.2848358,135.8390045
Q8WUM4,PDCD6IP,27085.32617,26733.60547,31684.73438,34897.75391,24390.88867,18410.88672,23125.48828,28097.69336,35009.29297,26132.875,29375.37305,22303.68359,21998.54102,21142.1582,22386.10156,1,28.23715019,175.647583,1,92.70855713,201.388855,83.09474182,1,1.11666441,1,1,152.9697723,19.90089798,1,197.0608368
Q8WUN7,UBTD2,6302.39209,5907.480957,5440.856934,3961.983887,4657.563965,3524.991211,3307.641113,6592.227539,4244.202637,10148.89258,9029.296875,4693.518555,5093.792969,5919.956055,5427.847656,1279.803833,111.7007828,270.9992371,73.78300476,93.96482086,1,203.5326538,1,1272.979248,373.300415,1,66.25614166,186.5963898,186.6347351,948.4237061
Q8WUP2,FBLIM1,NaN,NaN,NaN,NaN,9417.055664,NaN,8252.59082,17304.73828,NaN,NaN,1,NaN,1,353.0845032,531.7110596,NaN,NaN,NaN,NaN,837.2137451,NaN,719.286377,2603.000732,NaN,NaN,601.0478516,NaN,399.5858765,1,1.046903491
Q8WUQ7,CACTIN,NaN,NaN,NaN,NaN,1132.392822,963.2723999,435.022522,NaN,NaN,NaN,NaN,1582.605957,1472.755493,897.3952637,1699.189453,NaN,NaN,NaN,NaN,1,1,144.5903931,NaN,NaN,NaN,NaN,1,1,1,1
Q8WUR7,C15orf40,536.0737915,230.3225708,1234.365479,1053.086914,NaN,1,1,1860.565186,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q8WUU5,GATAD1,NaN,NaN,NaN,NaN,1491.475098,903.8751221,1003.607422,NaN,NaN,NaN,NaN,2052.883301,926.9663696,433.0358887,1109.165771,NaN,NaN,NaN,NaN,1,501.0133057,2400.912598,NaN,NaN,NaN,NaN,1.020071268,1,1,1
Q8WUW1,BRK1,2563.473633,1224.223145,1574.365479,1898.922852,NaN,NaN,NaN,NaN,1474.900391,681.1305542,2494.765625,1313.442627,292.9143982,NaN,NaN,7393.999023,11032.19629,3802.018799,5954.556641,NaN,NaN,NaN,NaN,14707.4082,1.072106719,6705.0625,6617.82666,1,NaN,NaN
Q8WUX9,CHMP7,8362.882813,7304.432617,7136.705566,7025.226563,4799.644531,4593.128906,4854.260254,8852.121094,12345.24805,12840.84961,10721.94336,5015.152344,5249.154297,4554.512207,5011.031738,1019.805237,875.3873901,711.2983398,738.34198,1108.059937,504.8797302,838.0386353,704.5866699,458.4409485,803.6925049,3338.186523,984.0792236,345.886261,1196.118164,2276.252197
Q8WUY1,THEM6,3034.797607,442.1382446,2604.480713,1734.19165,2961.661865,2027.897583,2947.367188,1821.093018,NaN,4204.049805,NaN,3781.94458,2459.278076,2730.625244,2194.716309,1,1,1,1,120.1739197,1,1,1,NaN,1,NaN,1,607.7984619,1,120.1554794
Q8WUY8,NAT14,4527.236328,3099.813477,4154.018555,5312.053223,5804.424805,5229.055176,5394.647461,3823.487061,3816.387939,2951.274658,3295.519775,4034.968262,6052.497559,6245.15332,6116.262207,395.1575623,296.6500549,287.5706177,458.8666077,252.1060791,1199.106445,1162.418457,111.7047729,116.3802185,136.4602661,112.606041,1,278.5937195,1120.547241,445.7888489
Q8WUZ0,BCL7C,NaN,NaN,NaN,NaN,890.536438,1474.146118,587.215332,NaN,NaN,NaN,1,803.9506226,415.5671082,977.4035645,1109.394775,NaN,NaN,NaN,NaN,587.6313477,1,948.5637817,NaN,NaN,NaN,1,925.0646362,287.747345,603.9090576,539.7095337
Q8WV22,NSMCE1,NaN,NaN,NaN,NaN,2283.611816,2094.675293,2135.061035,NaN,NaN,NaN,NaN,2723.750488,1773.564331,2834.840088,2278.662109,NaN,NaN,NaN,NaN,530.4628906,113.4236679,477.0364075,NaN,NaN,NaN,NaN,92.73966217,1,215.8590851,1
Q8WV41,SNX33,NaN,1774.329468,NaN,2290.34375,1307.766235,NaN,573.0192261,515.5247192,NaN,NaN,779.9210205,728.6743774,NaN,NaN,1846.219482,NaN,1,NaN,1,1,NaN,1,1,NaN,NaN,1,1,NaN,NaN,1
Q8WV93,AFG1L,281.1687927,NaN,NaN,567.6950073,NaN,NaN,NaN,422.2730713,NaN,NaN,NaN,833.1326904,NaN,NaN,331.9226685,1,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,1
