rank,PG.Genes,row_mean.HN_H
540,NECTIN1,582.5105286
541,AHCYL1,581.8890381
542,SORBS2,580.8566361
543,ITM2C,577.57584
544,AP4B1,573.5752144
545,AP3M2,572.4556096
546,PDCD5,570.8832521
547,MAP1A,569.7224006
548,RPL13A,568.352911
549,FN3K,567.8684158
550,PPP2CB,567.3109436
551,ADGRG1,565.2315216
552,GNA11,564.0445251
553,MEMO1,563.306801
554,PFN1,562.595356
555,RRAS2,562.2969465
556,TTN,562.2729956
557,AKR1B1,561.37323
558,CYGB,561.2600555
559,PTPN11,560.3381197
560,SORD,559.2202759
561,ELP2,558.6417346
562,PALM3,558.2800217
563,RBSN,557.0344442
564,CTNND1,557.0217209
565,OGFR,556.9021072
566,HSP90AB1,554.524151
567,PRDX5,551.7907791
568,RIMS2,551.0650788
569,SCN2A,550.8323822
570,KLHL22,550.0463371
571,DNAJB11,549.8533783
572,GAREM2,549.7999166
573,DNAJC21,549.4632923
574,FAT1,545.6255798
575,MUC5B,545.3958728
576,CRPPA,543.996816
577,GLRX5,542.9953003
578,GNAS,542.9618607
579,PA2G4,541.7732849
580,REEP5,540.0690078
581,ACTBL2,538.4635568
582,CDC42EP4,536.617836
583,PCDHGA6,535.0987854
584,NFXL1,534.5768687
585,DYRK1A,533.3173752
586,MAT2A,533.2624512
587,PDIA4,532.3687134
588,NADK2,531.3245908
589,ETFRF1,531.0535431
590,CHMP3,530.0897016
591,FADS2,529.5751877
592,UGGT1,528.6892014
593,PYCR1,528.2054215
594,G6PC3,527.52985
595,RASA3,526.2463532
596,CCDC6,521.9124446
597,RPS6KB1,517.7626724
598,PTDSS2,517.5980911
599,STMN4,517.1175213
600,POLR2B,517.0495987
601,NAE1,516.3729859
602,PDP1,515.3320084
603,PGBD5,514.3338319
604,AARS2,514.046051
605,PCDHB2,513.7708435
606,LCLAT1,513.6125183
607,TMEM9B,511.9554978
608,AKTIP,510.6032258
609,PPP2R2D,505.4130554
610,MRPL53,504.3683701
611,MAPK3,503.9305573
612,PDAP1,503.6290741
613,LYPLA2,503.5346937
614,SPOCK3,503.3473002
615,NDUFS5,501.7371368
616,RPN1,500.848446
617,OXSM,500.6136446
