sample	group	guide_group_actual	guide_group	bio_group	layout	orig_filename	orig_filename_R2
sg1126_S_HNRNPA1kd_9_L2	HNRNPA1kd	sg1126_S_HNRNPA1kd	sg1126	sg1126_S_HNRNPA1kd_9	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_9_S9_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_9_S9_L002_R2_001.fastq.gz
sg1126_S_HNRNPA1kd_10_L1	HNRNPA1kd	sg1126_S_HNRNPA1kd	sg1126	sg1126_S_HNRNPA1kd_10	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_10_S10_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_10_S10_L001_R2_001.fastq.gz
sg1126_S_HNRNPA1kd_10_L2	HNRNPA1kd	sg1126_S_HNRNPA1kd	sg1126	sg1126_S_HNRNPA1kd_10	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_10_S10_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_10_S10_L002_R2_001.fastq.gz
sg1126_S_HNRNPA1kd_11_L1	HNRNPA1kd	sg1126_S_HNRNPA1kd	sg1126	sg1126_S_HNRNPA1kd_11	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_11_S11_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_11_S11_L001_R2_001.fastq.gz
sg1126_S_HNRNPA1kd_11_L2	HNRNPA1kd	sg1126_S_HNRNPA1kd	sg1126	sg1126_S_HNRNPA1kd_11	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_11_S11_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_11_S11_L002_R2_001.fastq.gz
sg1126_S_HNRNPA1kd_12_L1	HNRNPA1kd	sg1126_S_HNRNPA1kd	sg1126	sg1126_S_HNRNPA1kd_12	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_12_S12_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_12_S12_L001_R2_001.fastq.gz
sg1126_S_HNRNPA1kd_12_L2	HNRNPA1kd	sg1126_S_HNRNPA1kd	sg1126	sg1126_S_HNRNPA1kd_12	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_12_S12_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_12_S12_L002_R2_001.fastq.gz
sg1128_N_HNRNPA1kd_13_L1	HNRNPA1kd	sg1128_N_HNRNPA1kd	sg1128	sg1128_N_HNRNPA1kd_13	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_13_S13_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_13_S13_L001_R2_001.fastq.gz
sg1128_N_HNRNPA1kd_13_L2	HNRNPA1kd	sg1128_N_HNRNPA1kd	sg1128	sg1128_N_HNRNPA1kd_13	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_13_S13_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_13_S13_L002_R2_001.fastq.gz
sg1128_N_HNRNPA1kd_14_L1	HNRNPA1kd	sg1128_N_HNRNPA1kd	sg1128	sg1128_N_HNRNPA1kd_14	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_14_S14_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_14_S14_L001_R2_001.fastq.gz
sg1128_N_HNRNPA1kd_14_L2	HNRNPA1kd	sg1128_N_HNRNPA1kd	sg1128	sg1128_N_HNRNPA1kd_14	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_14_S14_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_14_S14_L002_R2_001.fastq.gz
sg1128_N_HNRNPA1kd_15_L1	HNRNPA1kd	sg1128_N_HNRNPA1kd	sg1128	sg1128_N_HNRNPA1kd_15	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_15_S15_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_15_S15_L001_R2_001.fastq.gz
sg1128_N_HNRNPA1kd_15_L2	HNRNPA1kd	sg1128_N_HNRNPA1kd	sg1128	sg1128_N_HNRNPA1kd_15	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_15_S15_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_15_S15_L002_R2_001.fastq.gz
sg1128_N_HNRNPA1kd_16_L1	HNRNPA1kd	sg1128_N_HNRNPA1kd	sg1128	sg1128_N_HNRNPA1kd_16	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_16_S16_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_16_S16_L001_R2_001.fastq.gz
sg1128_N_HNRNPA1kd_16_L2	HNRNPA1kd	sg1128_N_HNRNPA1kd	sg1128	sg1128_N_HNRNPA1kd_16	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_16_S16_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_16_S16_L002_R2_001.fastq.gz
sg1128_N_HNRNPA1kd_17_L1	HNRNPA1kd	sg1128_N_HNRNPA1kd	sg1128	sg1128_N_HNRNPA1kd_17	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_17_S17_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_17_S17_L001_R2_001.fastq.gz
sg1128_N_HNRNPA1kd_17_L2	HNRNPA1kd	sg1128_N_HNRNPA1kd	sg1128	sg1128_N_HNRNPA1kd_17	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_17_S17_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_17_S17_L002_R2_001.fastq.gz
sg1128_N_HNRNPA1kd_18_L1	HNRNPA1kd	sg1128_N_HNRNPA1kd	sg1128	sg1128_N_HNRNPA1kd_18	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_18_S18_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_18_S18_L001_R2_001.fastq.gz
sg1128_N_HNRNPA1kd_18_L2	HNRNPA1kd	sg1128_N_HNRNPA1kd	sg1128	sg1128_N_HNRNPA1kd_18	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_18_S18_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_18_S18_L002_R2_001.fastq.gz
sg1128_S_HNRNPA1kd_19_L1	HNRNPA1kd	sg1128_S_HNRNPA1kd	sg1128	sg1128_S_HNRNPA1kd_19	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_19_S19_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_19_S19_L001_R2_001.fastq.gz
sg1128_S_HNRNPA1kd_19_L2	HNRNPA1kd	sg1128_S_HNRNPA1kd	sg1128	sg1128_S_HNRNPA1kd_19	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_19_S19_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_19_S19_L002_R2_001.fastq.gz
sg1128_S_HNRNPA1kd_20_L1	HNRNPA1kd	sg1128_S_HNRNPA1kd	sg1128	sg1128_S_HNRNPA1kd_20	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_20_S20_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_20_S20_L001_R2_001.fastq.gz
sg1128_S_HNRNPA1kd_20_L2	HNRNPA1kd	sg1128_S_HNRNPA1kd	sg1128	sg1128_S_HNRNPA1kd_20	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_20_S20_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_20_S20_L002_R2_001.fastq.gz
sg1128_S_HNRNPA1kd_21_L1	HNRNPA1kd	sg1128_S_HNRNPA1kd	sg1128	sg1128_S_HNRNPA1kd_21	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_21_S21_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_21_S21_L001_R2_001.fastq.gz
sg1128_S_HNRNPA1kd_21_L2	HNRNPA1kd	sg1128_S_HNRNPA1kd	sg1128	sg1128_S_HNRNPA1kd_21	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_21_S21_L002_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_21_S21_L002_R2_001.fastq.gz
sg1128_S_HNRNPA1kd_22_L1	HNRNPA1kd	sg1128_S_HNRNPA1kd	sg1128	sg1128_S_HNRNPA1kd_22	PE	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_22_S22_L001_R1_001.fastq.gz	/data/CARD_ARDIS/HNRNPA1kdRNAseq/NovaSeq_VR8147/VR-8147_22_S22_L001_R2_001.fastq.gz
